,title,collections,current_price,colors,sizes,is_active,quantity
0,Sesame Paste Ramen 5 Pack,"['public-goods-food', 'food', 'public-goods', 'dry-soups', 'home-essentials-new-arrivals']",12.9,,,True,300
1,Organic Linden Flower Raw Honey,"['public-goods-food', 'food', 'kitchen-dining', 'public-goods']",9.9,,,True,200
2,Seaweed Snacks,"['public-goods-food', 'food', 'public-goods', 'home-essentials-new-arrivals']",9.9,,,True,200
3,Veggie Chips,"['public-goods-food', 'food', 'public-goods']",6.9,,,True,200
4,Organic Wildflower Raw Honey,"['public-goods-food', 'home-essentials-new-arrivals']",18.9,,,True,300
5,Candied Pecans,"['public-goods-food', 'food', 'public-goods']",9.9,,,True,200
6,Organic Agave Syrup,"['public-goods-food', 'food', 'public-goods']",6.9,,,True,200
7,Sweet & Spicy Pecans,"['public-goods-food', 'food', 'public-goods']",9.9,,,True,200
8,Chocolate Almonds,"['public-goods-food', 'food', 'public-goods']",9.9,,,True,200
9,Plantain Chips,"['public-goods-food', 'food', 'public-goods']",6.9,,,True,200
10,Organic Rosemary Crackers,"['public-goods-food', 'food', 'public-goods']",6.9,,,True,200
11,Stainless Aluminium 3-Layer Steel Saucepan 1.5L (1.6 Qt),"['kitchen-appliances', 'kitchen-dining', 'home-essentials-new-arrivals']",35.9,,,True,300
12,Stainless Aluminium 3-Layer Steel Milk Pan 1L (1.05 Qt),"['kitchen-appliances', 'kitchen-dining']",29.9,,,True,300
13,Stainless Aluminium 3-Layer Steel Saucepot 3L (3.2 Qt),"['kitchen-appliances', 'kitchen-dining']",59.9,,,True,300
14,Stainless Aluminium 3-Layer Steel Saucepot 6L (6.3 Qt),"['kitchen-appliances', 'kitchen-dining']",69.9,,,True,300
15,Fry Pan - Small,"['kitchen-appliances', 'kitchen-dining']",39.9,,,True,300
16,BALMUDA The Toaster,"['kitchen-appliances', 'balmuda', 'home', 'kitchen-dining']",299.0,,,True,50
17,Stainless Steel Kettle,"['kitchen-appliances', 'kitchen-dining']",49.9,,1.1L(1.2Quarts),True,300
17,Stainless Steel Kettle,"['kitchen-appliances', 'kitchen-dining']",49.9,,2.6L(2.7Quarts),True,300
18,Lyocell Pillowcase,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",12.9,OffWhite,"Standard(W16.9xL24.8"")",True,300
18,Lyocell Pillowcase,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",12.9,OffWhite,"Queen(W19.7xL27.6"")",True,300
18,Lyocell Pillowcase,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",12.9,LightGray,"Standard(W16.9xL24.8"")",True,300
18,Lyocell Pillowcase,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",12.9,LightGray,"Queen(W19.7xL27.6"")",True,300
18,Lyocell Pillowcase,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",12.9,Beige,"Standard(W16.9xL24.8"")",True,300
18,Lyocell Pillowcase,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",12.9,Beige,"Queen(W19.7xL27.6"")",True,300
18,Lyocell Pillowcase,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",12.9,Blue,"Standard(W16.9xL24.8"")",True,300
18,Lyocell Pillowcase,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",12.9,Blue,"Queen(W19.7xL27.6"")",True,300
19,Lyocell Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",49.9,OffWhite,"Single(L39.3xW78.7"")",True,300
19,Lyocell Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",49.9,OffWhite,"Double(L55.1xW78.7"")",True,300
19,Lyocell Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",49.9,OffWhite,"Queen(L62.9xW78.7"")",True,300
19,Lyocell Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",49.9,OffWhite,"King(L70.9xW78.7"")",True,300
19,Lyocell Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",49.9,LightGray,"Single(L39.3xW78.7"")",True,300
19,Lyocell Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",49.9,LightGray,"Double(L55.1xW78.7"")",True,300
19,Lyocell Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",49.9,LightGray,"Queen(L62.9xW78.7"")",True,300
19,Lyocell Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",49.9,LightGray,"King(L70.9xW78.7"")",True,300
19,Lyocell Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",49.9,Beige,"Single(L39.3xW78.7"")",True,300
19,Lyocell Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",49.9,Beige,"Double(L55.1xW78.7"")",True,300
19,Lyocell Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",49.9,Beige,"Queen(L62.9xW78.7"")",True,300
19,Lyocell Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",49.9,Beige,"King(L70.9xW78.7"")",True,300
19,Lyocell Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",49.9,Blue,"Single(L39.3xW78.7"")",True,300
19,Lyocell Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",49.9,Blue,"Double(L55.1xW78.7"")",True,300
19,Lyocell Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",49.9,Blue,"Queen(L62.9xW78.7"")",True,300
19,Lyocell Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",49.9,Blue,"King(L70.9xW78.7"")",True,300
20,Lyocell Duvet Cover,"['bedding', 'back-to-school-dorm-room-essentials', 'duvets-duvet-covers', 'limited-time-offers', 'home']",79.9,OffWhite,"SemiDouble(L65.0xW82.7"")",True,300
20,Lyocell Duvet Cover,"['bedding', 'back-to-school-dorm-room-essentials', 'duvets-duvet-covers', 'limited-time-offers', 'home']",79.9,OffWhite,"Queen(L80.7xW82.7"")",True,300
20,Lyocell Duvet Cover,"['bedding', 'back-to-school-dorm-room-essentials', 'duvets-duvet-covers', 'limited-time-offers', 'home']",79.9,OffWhite,"King(L90.6xW82.7"")",True,300
20,Lyocell Duvet Cover,"['bedding', 'back-to-school-dorm-room-essentials', 'duvets-duvet-covers', 'limited-time-offers', 'home']",79.9,LightGray,"SemiDouble(L65.0xW82.7"")",True,300
20,Lyocell Duvet Cover,"['bedding', 'back-to-school-dorm-room-essentials', 'duvets-duvet-covers', 'limited-time-offers', 'home']",79.9,LightGray,"Queen(L80.7xW82.7"")",True,300
20,Lyocell Duvet Cover,"['bedding', 'back-to-school-dorm-room-essentials', 'duvets-duvet-covers', 'limited-time-offers', 'home']",79.9,LightGray,"King(L90.6xW82.7"")",True,300
20,Lyocell Duvet Cover,"['bedding', 'back-to-school-dorm-room-essentials', 'duvets-duvet-covers', 'limited-time-offers', 'home']",79.9,Beige,"SemiDouble(L65.0xW82.7"")",True,300
20,Lyocell Duvet Cover,"['bedding', 'back-to-school-dorm-room-essentials', 'duvets-duvet-covers', 'limited-time-offers', 'home']",79.9,Beige,"Queen(L80.7xW82.7"")",True,300
20,Lyocell Duvet Cover,"['bedding', 'back-to-school-dorm-room-essentials', 'duvets-duvet-covers', 'limited-time-offers', 'home']",79.9,Beige,"King(L90.6xW82.7"")",True,300
20,Lyocell Duvet Cover,"['bedding', 'back-to-school-dorm-room-essentials', 'duvets-duvet-covers', 'limited-time-offers', 'home']",79.9,Blue,"SemiDouble(L65.0xW82.7"")",True,300
20,Lyocell Duvet Cover,"['bedding', 'back-to-school-dorm-room-essentials', 'duvets-duvet-covers', 'limited-time-offers', 'home']",79.9,Blue,"Queen(L80.7xW82.7"")",True,300
20,Lyocell Duvet Cover,"['bedding', 'back-to-school-dorm-room-essentials', 'duvets-duvet-covers', 'limited-time-offers', 'home']",79.9,Blue,"King(L90.6xW82.7"")",True,300
21,Stretchable Cool Touch Pillow Case,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",9.9,LightGray,"Standard(W16.9xL24.8"")",True,200
21,Stretchable Cool Touch Pillow Case,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",9.9,LightGray,"Queen(W19.7xL27.6"")",True,200
21,Stretchable Cool Touch Pillow Case,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",9.9,Beige,"Standard(W16.9xL24.8"")",True,200
21,Stretchable Cool Touch Pillow Case,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",9.9,Beige,"Queen(W19.7xL27.6"")",True,200
21,Stretchable Cool Touch Pillow Case,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",9.9,Blue,"Standard(W16.9xL24.8"")",True,200
21,Stretchable Cool Touch Pillow Case,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",9.9,Blue,"Queen(W19.7xL27.6"")",True,200
22,Stretchable Cool Touch Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",39.9,LightGray,"SemiDouble-Double(W43.3xL66.9xD15"")",True,300
22,Stretchable Cool Touch Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",39.9,LightGray,"Queen-King(W53.1xL66.9xD15"")",True,300
22,Stretchable Cool Touch Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",39.9,Beige,"SemiDouble-Double(W43.3xL66.9xD15"")",True,300
22,Stretchable Cool Touch Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",39.9,Beige,"Queen-King(W53.1xL66.9xD15"")",True,300
22,Stretchable Cool Touch Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",39.9,Blue,"SemiDouble-Double(W43.3xL66.9xD15"")",True,300
22,Stretchable Cool Touch Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'home', 'bed-pads-fitted-sheets']",39.9,Blue,"Queen-King(W53.1xL66.9xD15"")",True,300
23,Washed Cotton Pillowcase,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",9.9,OffWhite,"Standard(W16.9xL24.8"")",True,200
23,Washed Cotton Pillowcase,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",9.9,OffWhite,"Queen(W19.7xL27.6"")",True,200
23,Washed Cotton Pillowcase,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",9.9,Gray,"Standard(W16.9xL24.8"")",True,200
23,Washed Cotton Pillowcase,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",9.9,Gray,"Queen(W19.7xL27.6"")",True,200
