,product_id,collection
0,0,public-goods-food
1,0,food
2,0,public-goods
3,0,dry-soups
4,0,home-essentials-new-arrivals
5,1,public-goods-food
6,1,food
7,1,kitchen-dining
8,1,public-goods
9,2,public-goods-food
10,2,food
11,2,public-goods
12,2,home-essentials-new-arrivals
13,3,public-goods-food
14,3,food
15,3,public-goods
16,4,public-goods-food
17,4,home-essentials-new-arrivals
18,5,public-goods-food
19,5,food
20,5,public-goods
21,6,public-goods-food
22,6,food
23,6,public-goods
24,7,public-goods-food
25,7,food
26,7,public-goods
27,8,public-goods-food
28,8,food
29,8,public-goods
30,9,public-goods-food
31,9,food
32,9,public-goods
33,10,public-goods-food
34,10,food
35,10,public-goods
36,11,kitchen-appliances
37,11,kitchen-dining
38,11,home-essentials-new-arrivals
39,12,kitchen-appliances
40,12,kitchen-dining
41,13,kitchen-appliances
42,13,kitchen-dining
43,14,kitchen-appliances
44,14,kitchen-dining
45,15,kitchen-appliances
46,15,kitchen-dining
47,16,kitchen-appliances
48,16,balmuda
49,16,home
50,16,kitchen-dining
51,17,kitchen-appliances
52,17,kitchen-dining
53,18,bedding
54,18,back-to-school-dorm-room-essentials
55,18,pillows-pillowcases
56,18,limited-time-offers
57,18,home
58,19,bedding
59,19,back-to-school-dorm-room-essentials
60,19,limited-time-offers
61,19,home
62,19,bed-pads-fitted-sheets
63,20,bedding
64,20,back-to-school-dorm-room-essentials
65,20,duvets-duvet-covers
66,20,limited-time-offers
67,20,home
68,21,bedding
69,21,back-to-school-dorm-room-essentials
70,21,pillows-pillowcases
71,21,limited-time-offers
72,21,home
73,22,bedding
74,22,back-to-school-dorm-room-essentials
75,22,limited-time-offers
76,22,home
77,22,bed-pads-fitted-sheets
78,23,bedding
79,23,back-to-school-dorm-room-essentials
80,23,pillows-pillowcases
81,23,limited-time-offers
82,23,home
83,24,bedding
84,24,back-to-school-dorm-room-essentials
85,24,limited-time-offers
86,24,limited-time-offers
87,24,home
88,24,home
89,24,bed-pads-fitted-sheets
90,24,bed-pads-fitted-sheets
91,25,bedding
92,25,bed-pads-fitted-sheets
93,25,sale
94,25,home-clearance
95,26,bedding
96,26,duvets-duvet-covers
97,26,sale
98,26,home-clearance
99,27,bedding
100,27,bed-pads-fitted-sheets
101,28,bedding
102,28,duvets-duvet-covers
103,29,bedding
104,29,duvets-duvet-covers
105,30,bedding
106,30,bed-pads-fitted-sheets
107,30,sale
108,30,home-clearance
109,31,office-supplies
110,31,paper-goods
111,31,binders-looseleaf-paper
112,31,home-essentials-new-arrivals
113,32,office-supplies
114,32,desk-accessories
115,33,office-supplies
116,33,albums-photo-frame
117,33,home-essentials-new-arrivals
118,34,office-supplies
119,34,desk-accessories
120,35,office-supplies
121,35,office-storage
122,35,storage-organizers
123,36,office-supplies
124,36,acrylic-storages
125,36,office-storage
126,36,storage-organizers
127,36,stationery
128,37,office-supplies
129,37,office-storage
130,37,storage-organizers
131,38,office-supplies
132,38,desk-accessories
133,38,tech-organizers
134,38,home-essentials-new-arrivals
135,39,office-supplies
136,39,desk-accessories
137,39,tech-organizers
138,39,home-essentials-new-arrivals
139,39,travel
140,40,office-supplies
141,40,albums-photo-frame
142,41,office-supplies
143,41,office-supplies
144,41,desk-accessories
145,41,desk-accessories
146,41,stationery
147,41,stationery
148,42,office-supplies
149,42,desk-accessories
150,43,office-supplies
151,43,albums-photo-frame
152,44,office-supplies
153,44,acrylic-storages
154,44,office-storage
155,45,office-supplies
156,45,paper-goods
157,45,binders-looseleaf-paper
158,46,office-supplies
159,46,gift-wrapping
160,46,desk-accessories
161,46,home-essentials-new-arrivals
