,title,collections,current_price,colors,sizes,is_active,quantity
0,Sesame Paste Ramen 5 Pack,public-goods-food,12.9,,,True,300
0,Sesame Paste Ramen 5 Pack,food,12.9,,,True,300
0,Sesame Paste Ramen 5 Pack,public-goods,12.9,,,True,300
0,Sesame Paste Ramen 5 Pack,dry-soups,12.9,,,True,300
0,Sesame Paste Ramen 5 Pack,home-essentials-new-arrivals,12.9,,,True,300
1,Organic Linden Flower Raw Honey,public-goods-food,9.9,,,True,200
1,Organic Linden Flower Raw Honey,food,9.9,,,True,200
1,Organic Linden Flower Raw Honey,kitchen-dining,9.9,,,True,200
1,Organic Linden Flower Raw Honey,public-goods,9.9,,,True,200
2,Seaweed Snacks,public-goods-food,9.9,,,True,200
2,Seaweed Snacks,food,9.9,,,True,200
2,Seaweed Snacks,public-goods,9.9,,,True,200
2,Seaweed Snacks,home-essentials-new-arrivals,9.9,,,True,200
3,Veggie Chips,public-goods-food,6.9,,,True,200
3,Veggie Chips,food,6.9,,,True,200
3,Veggie Chips,public-goods,6.9,,,True,200
4,Organic Wildflower Raw Honey,public-goods-food,18.9,,,True,300
4,Organic Wildflower Raw Honey,home-essentials-new-arrivals,18.9,,,True,300
5,Candied Pecans,public-goods-food,9.9,,,True,200
5,Candied Pecans,food,9.9,,,True,200
5,Candied Pecans,public-goods,9.9,,,True,200
6,Organic Agave Syrup,public-goods-food,6.9,,,True,200
6,Organic Agave Syrup,food,6.9,,,True,200
6,Organic Agave Syrup,public-goods,6.9,,,True,200
7,Sweet & Spicy Pecans,public-goods-food,9.9,,,True,200
7,Sweet & Spicy Pecans,food,9.9,,,True,200
7,Sweet & Spicy Pecans,public-goods,9.9,,,True,200
8,Chocolate Almonds,public-goods-food,9.9,,,True,200
8,Chocolate Almonds,food,9.9,,,True,200
8,Chocolate Almonds,public-goods,9.9,,,True,200
9,Plantain Chips,public-goods-food,6.9,,,True,200
9,Plantain Chips,food,6.9,,,True,200
9,Plantain Chips,public-goods,6.9,,,True,200
10,Organic Rosemary Crackers,public-goods-food,6.9,,,True,200
10,Organic Rosemary Crackers,food,6.9,,,True,200
10,Organic Rosemary Crackers,public-goods,6.9,,,True,200
11,Stainless Aluminium 3-Layer Steel Saucepan 1.5L (1.6 Qt),kitchen-appliances,35.9,,,True,300
11,Stainless Aluminium 3-Layer Steel Saucepan 1.5L (1.6 Qt),kitchen-dining,35.9,,,True,300
11,Stainless Aluminium 3-Layer Steel Saucepan 1.5L (1.6 Qt),home-essentials-new-arrivals,35.9,,,True,300
12,Stainless Aluminium 3-Layer Steel Milk Pan 1L (1.05 Qt),kitchen-appliances,29.9,,,True,300
12,Stainless Aluminium 3-Layer Steel Milk Pan 1L (1.05 Qt),kitchen-dining,29.9,,,True,300
13,Stainless Aluminium 3-Layer Steel Saucepot 3L (3.2 Qt),kitchen-appliances,59.9,,,True,300
13,Stainless Aluminium 3-Layer Steel Saucepot 3L (3.2 Qt),kitchen-dining,59.9,,,True,300
14,Stainless Aluminium 3-Layer Steel Saucepot 6L (6.3 Qt),kitchen-appliances,69.9,,,True,300
14,Stainless Aluminium 3-Layer Steel Saucepot 6L (6.3 Qt),kitchen-dining,69.9,,,True,300
15,Fry Pan - Small,kitchen-appliances,39.9,,,True,300
15,Fry Pan - Small,kitchen-dining,39.9,,,True,300
16,BALMUDA The Toaster,kitchen-appliances,299.0,,,True,50
16,BALMUDA The Toaster,balmuda,299.0,,,True,50
16,BALMUDA The Toaster,home,299.0,,,True,50
16,BALMUDA The Toaster,kitchen-dining,299.0,,,True,50
17,Stainless Steel Kettle,kitchen-appliances,49.9,,1.1L(1.2Quarts),True,300
17,Stainless Steel Kettle,kitchen-dining,49.9,,1.1L(1.2Quarts),True,300
17,Stainless Steel Kettle,kitchen-appliances,49.9,,2.6L(2.7Quarts),True,300
17,Stainless Steel Kettle,kitchen-dining,49.9,,2.6L(2.7Quarts),True,300
18,Lyocell Pillowcase,bedding,12.9,OffWhite,"Standard(W16.9xL24.8"")",True,300
