,user_id,age,gender,income,location,preferences
0,1,34,['Female'],High,['New York'],"{'stationery': 0.8668527815273029, 'travel': 0.17312898754451655, 'home': 0.1531862477719963, 'skin-care': 0.7495482620919918, 'fashion': 0.19480663204139237}"
1,2,28,['Female'],High,['Boston'],"{'stationery': 0.5944095047528185, 'travel': 0.11437203674877394, 'home': 0.0732436791146105, 'skin-care': 0.7820295114886594, 'fashion': 0.6751585851428088}"
2,3,46,['Male'],Low,['New York'],"{'stationery': 0.5352067173374587, 'travel': 0.9490992365322863, 'home': 0.031040147615305158, 'skin-care': 0.6046008022428098, 'fashion': 0.7253864877663507}"
3,4,29,['Male'],Medium,['New York'],"{'stationery': 0.11586929827594161, 'travel': 0.6729098931373608, 'home': 0.46460950395257594, 'skin-care': 0.5281905634578199, 'fashion': 0.668174177389932}"
4,5,46,['Male'],High,['New York'],"{'stationery': 0.6589154011178008, 'travel': 0.5800823760834009, 'home': 0.6733718402809037, 'skin-care': 0.6541697689017897, 'fashion': 0.39949106977866267}"
5,6,21,['Male'],Medium,['New York'],"{'stationery': 0.5284585269385713, 'travel': 0.726818733476789, 'home': 0.164981684278815, 'skin-care': 0.6093318406325436, 'fashion': 0.17827065966217437}"
6,7,30,['Female'],Medium,['Portland'],"{'stationery': 0.5679299868176783, 'travel': 0.6430713991931746, 'home': 0.6083696817390983, 'skin-care': 0.09804088372670283, 'fashion': 0.5665088899511789}"
7,8,59,['Female'],Medium,['New York'],"{'stationery': 0.0605222560533738, 'travel': 0.4104670918718264, 'home': 0.699716673397326, 'skin-care': 0.4545701171785279, 'fashion': 0.3758839167787419}"
8,9,63,['Female'],High,['Boston'],"{'stationery': 0.04681061314835866, 'travel': 0.8474783805768644, 'home': 0.5674379390166278, 'skin-care': 0.3281447336323574, 'fashion': 0.15349545343836557}"
9,10,22,['Male'],Low,['New York'],"{'stationery': 0.5889215725263122, 'travel': 0.4271799946519037, 'home': 0.224712755114846, 'skin-care': 0.5830530453674269, 'fashion': 0.6847396667132156}"
10,11,31,['Female'],Medium,['New York'],"{'stationery': 0.5088629211530405, 'travel': 0.7942339539087684, 'home': 0.5020480691068403, 'skin-care': 0.17289906369709596, 'fashion': 0.6788571243768765}"
11,12,51,['Female'],Medium,['New York'],"{'stationery': 0.9766363290634779, 'travel': 0.3095321947829479, 'home': 0.47567420786774917, 'skin-care': 0.372628843714373, 'fashion': 0.2503312794535776}"
12,13,24,['Female'],High,['New York'],"{'stationery': 0.33067883356038863, 'travel': 0.5680815781113504, 'home': 0.2950997662972651, 'skin-care': 0.09165388074595904, 'fashion': 0.5376591908858379}"
13,14,61,['Female'],Medium,['New York'],"{'stationery': 0.8643614532706618, 'travel': 0.41541555872425817, 'home': 0.3028859296443659, 'skin-care': 0.4132996276798102, 'fashion': 0.27601562588201345}"
14,15,27,['Male'],Low,['New York'],"{'stationery': 0.04099633619108212, 'travel': 0.7800975645783943, 'home': 0.4842631294257438, 'skin-care': 0.011323065155819934, 'fashion': 0.6839511186356895}"
15,16,40,['Male'],Medium,['Boston'],"{'stationery': 0.2149376918692495, 'travel': 0.624057596054917, 'home': 0.4144504028798345, 'skin-care': 0.9995051361609958, 'fashion': 0.7998781768144244}"
16,17,56,['Female'],Medium,['New York'],"{'stationery': 0.5362119708366027, 'travel': 0.8817306915895466, 'home': 0.9356095824284859, 'skin-care': 0.2838343825309513, 'fashion': 0.25261737565898656}"
17,18,30,['Male'],High,['New York'],"{'stationery': 0.3659982073965735, 'travel': 0.7166225939907905, 'home': 0.16438620269429383, 'skin-care': 0.4300393904840035, 'fashion': 0.3834358907580666}"
18,19,34,['Male'],Medium,['New York'],"{'stationery': 0.8880652523797202, 'travel': 0.7337557027316155, 'home': 0.1548540009828021, 'skin-care': 0.2590136592841574, 'fashion': 0.30348721664146194}"
19,20,32,['Male'],High,['Boston'],"{'stationery': 0.6078781583104764, 'travel': 0.0066430107298427465, 'home': 0.3452339530540758, 'skin-care': 0.9686658448656292, 'fashion': 0.48831578303219425}"
20,21,18,['Male'],Low,['New York'],"{'stationery': 0.3894488692834317, 'travel': 0.744499581877262, 'home': 0.09386688823620215, 'skin-care': 0.5065590706999054, 'fashion': 0.2983481561339353}"
21,22,59,['Female'],Low,['Portland'],"{'stationery': 0.7147929958006533, 'travel': 0.43269384721996584, 'home': 0.9041560496931748, 'skin-care': 0.975713610127257, 'fashion': 0.20223886267133984}"
22,23,51,['Male'],Low,['New York'],"{'stationery': 0.3928463267449138, 'travel': 0.37404151015669873, 'home': 0.8673179535765977, 'skin-care': 0.03856472433676639, 'fashion': 0.6401085776504157}"
23,24,41,['Female'],Medium,['New York'],"{'stationery': 0.4707819187462222, 'travel': 0.4397964380977395, 'home': 0.6040598455082122, 'skin-care': 0.5997075533516065, 'fashion': 0.598729219970296}"
24,25,21,['Female'],Low,['New York'],"{'stationery': 0.3150245155715793, 'travel': 0.7464349737100802, 'home': 0.9449084173566793, 'skin-care': 0.8043465228632898, 'fashion': 0.9524816042563768}"
25,26,28,['Male'],Low,['New York'],"{'stationery': 0.1743743059598749, 'travel': 0.5519356729104866, 'home': 0.20402272946726696, 'skin-care': 0.4364890893060208, 'fashion': 0.3215391657555845}"
26,27,29,['Female'],Medium,['New York'],"{'stationery': 0.9806575296918564, 'travel': 0.06490480618884176, 'home': 0.04311170027800637, 'skin-care': 0.3938479370781802, 'fashion': 0.6956986776916971}"
27,28,46,['Female'],Low,['Portland'],"{'stationery': 0.06119331937471162, 'travel': 0.19701683228344669, 'home': 0.24993909261013314, 'skin-care': 0.6460590748875646, 'fashion': 0.0017525543472949323}"
28,29,64,['Female'],Medium,['Boston'],"{'stationery': 0.39928000245138207, 'travel': 0.7865195137723915, 'home': 0.26922635160871045, 'skin-care': 0.2680442224276256, 'fashion': 0.9017919295697904}"
29,30,49,['Female'],High,['New York'],"{'stationery': 0.8865769557758151, 'travel': 0.6466701431159466, 'home': 0.003427865638616301, 'skin-care': 0.815594220850985, 'fashion': 0.7305339579151352}"
30,31,28,['Male'],Medium,['Boston'],"{'stationery': 0.37382139874157727, 'travel': 0.04501677966214157, 'home': 0.29830276611279616, 'skin-care': 0.8931326031929433, 'fashion': 0.16800137832921835}"
31,32,60,['Female'],Low,['New York'],"{'stationery': 0.9303749560106556, 'travel': 0.9162893964385402, 'home': 0.19667575455374675, 'skin-care': 0.9873563215484, 'fashion': 0.12834934957086575}"
32,33,65,['Female'],High,['New York'],"{'stationery': 0.9045758646399827, 'travel': 0.5367226959503699, 'home': 0.7297992166747873, 'skin-care': 0.08952530518248702, 'fashion': 0.6167570319504022}"
33,34,33,['Male'],High,['Portland'],"{'stationery': 0.5360347024273219, 'travel': 0.43635192660703637, 'home': 0.032639277731288385, 'skin-care': 0.9645649567820972, 'fashion': 0.032067680871306625}"
34,35,42,['Female'],Low,['New York'],"{'stationery': 0.8880100473625593, 'travel': 0.23225964857020553, 'home': 0.11383872141663709, 'skin-care': 0.6706359255820408, 'fashion': 0.45300368137854197}"
35,36,42,['Male'],Low,['New York'],"{'stationery': 0.5412496353193459, 'travel': 0.5919914113127492, 'home': 0.9093467449984414, 'skin-care': 0.9349288540333106, 'fashion': 0.2692017169718226}"
36,37,61,['Male'],Medium,['Boston'],"{'stationery': 0.13046220395103236, 'travel': 0.9066742184461439, 'home': 0.06739289608963428, 'skin-care': 0.8839751492768806, 'fashion': 0.06387214565448063}"
37,38,57,['Female'],Low,['New York'],"{'stationery': 0.7165623762705797, 'travel': 0.14765673557674508, 'home': 0.8368878807660561, 'skin-care': 0.11168120720260732, 'fashion': 0.09359419670935021}"
38,39,28,['Female'],High,['New York'],"{'stationery': 0.9446246996776635, 'travel': 0.11676609191689225, 'home': 0.4698745039209822, 'skin-care': 0.3782810188525896, 'fashion': 0.8846309275091181}"
39,40,45,['Female'],Low,['New York'],"{'stationery': 0.9235546429939471, 'travel': 0.7029497393333755, 'home': 0.9203384170719762, 'skin-care': 0.37343162435144983, 'fashion': 0.5399254015068411}"
40,41,60,['Male'],Low,['Boston'],"{'stationery': 0.9788669317562407, 'travel': 0.3940780267986722, 'home': 0.8742251852138386, 'skin-care': 0.32267609566510747, 'fashion': 0.5876020739595479}"
41,42,32,['Male'],High,['Boston'],"{'stationery': 0.9227038730937057, 'travel': 0.4674474194046879, 'home': 0.4965655842580443, 'skin-care': 0.07806861045899549, 'fashion': 0.19046562497226593}"
42,43,53,['Female'],High,['New York'],"{'stationery': 0.3953978343314587, 'travel': 0.19796363299797315, 'home': 0.5778855015268701, 'skin-care': 0.3764746567244669, 'fashion': 0.5449590633959833}"
43,44,64,['Male'],Low,['New York'],"{'stationery': 0.2696687878791063, 'travel': 0.6310259385165022, 'home': 0.5727994381849691, 'skin-care': 0.6684655359677731, 'fashion': 0.18798748631306317}"
44,45,57,['Female'],High,['New York'],"{'stationery': 0.5834466100427026, 'travel': 0.3283454418144345, 'home': 0.5571154305259706, 'skin-care': 0.2556450599891764, 'fashion': 0.6787378617338979}"
45,46,31,['Female'],Low,['New York'],"{'stationery': 0.022201328320517466, 'travel': 0.02679279638069587, 'home': 0.2038193259652249, 'skin-care': 0.6698949298599131, 'fashion': 0.5723213344233744}"
46,47,18,['Female'],Medium,['Portland'],"{'stationery': 0.23476189946434212, 'travel': 0.4728515877671585, 'home': 0.9550998163671667, 'skin-care': 0.3901934350729447, 'fashion': 0.054540167713197474}"
47,48,59,['Female'],High,['New York'],"{'stationery': 0.766530464323294, 'travel': 0.6680022647820997, 'home': 0.1396250100166636, 'skin-care': 0.2944571019134137, 'fashion': 0.8564752719195626}"
48,49,35,['Male'],Low,['New York'],"{'stationery': 0.41851983185027397, 'travel': 0.16909135017036026, 'home': 0.8724871460715055, 'skin-care': 0.722744928220624, 'fashion': 0.19681324914288312}"
49,50,19,['Female'],High,['Boston'],"{'stationery': 0.8195464086377495, 'travel': 0.9284314955819126, 'home': 0.5813718192077496, 'skin-care': 0.639816041336238, 'fashion': 0.2044990707585952}"
50,51,23,['Male'],Low,['New York'],"{'stationery': 0.661180751498254, 'travel': 0.2357460396094706, 'home': 0.8266831796125187, 'skin-care': 0.6546000976443396, 'fashion': 0.6410249371226732}"
51,52,45,['Male'],High,['New York'],"{'stationery': 0.7401651957194926, 'travel': 0.5494517404293093, 'home': 0.9131982580726351, 'skin-care': 0.3768561641471715, 'fashion': 0.47671343143421796}"
52,53,29,['Male'],Medium,['Boston'],"{'stationery': 0.16491005698301198, 'travel': 0.7247245717821427, 'home': 0.5121101232088903, 'skin-care': 0.8178979662337978, 'fashion': 0.06590191994607708}"
53,54,18,['Female'],Low,['New York'],"{'stationery': 0.5481353239589468, 'travel': 0.535338025308326, 'home': 0.03656859086153619, 'skin-care': 0.5622754140950385, 'fashion': 0.2402384251112647}"
54,55,59,['Female'],Low,['Portland'],"{'stationery': 0.9422506198305431, 'travel': 0.32940476273225006, 'home': 0.07540340795533573, 'skin-care': 0.7592523674127494, 'fashion': 0.014953710396016895}"
55,56,22,['Male'],Medium,['New York'],"{'stationery': 0.598646343318732, 'travel': 0.5947202298643581, 'home': 0.705931982750779, 'skin-care': 0.8681381092366236, 'fashion': 0.7768956818088604}"
56,57,45,['Female'],Medium,['Boston'],"{'stationery': 0.015613315009112894, 'travel': 0.4461431099017784, 'home': 0.24668706151974318, 'skin-care': 0.6120361230974078, 'fashion': 0.6650837626690455}"
57,58,29,['Female'],Low,['New York'],"{'stationery': 0.3573016494987622, 'travel': 0.018382354681100277, 'home': 0.3172156422516509, 'skin-care': 0.6712083165909472, 'fashion': 0.9261956281745383}"
58,59,18,['Male'],Low,['Boston'],"{'stationery': 0.2483791881726073, 'travel': 0.9651477943130361, 'home': 0.27055016902517914, 'skin-care': 0.13124243602128083, 'fashion': 0.9611104649036473}"
59,60,25,['Male'],High,['New York'],"{'stationery': 0.030987687740201775, 'travel': 0.45819012458501585, 'home': 0.8554509412034708, 'skin-care': 0.8173457173350869, 'fashion': 0.5948183399219695}"
60,61,49,['Male'],High,['Portland'],"{'stationery': 0.8399603966608403, 'travel': 0.686644170421985, 'home': 0.06707407379300512, 'skin-care': 0.38870494798843547, 'fashion': 0.6734150878776721}"
61,62,22,['Male'],Medium,['Portland'],"{'stationery': 0.18344007232674242, 'travel': 0.9590136879153661, 'home': 0.15411128073924818, 'skin-care': 0.8721034509895697, 'fashion': 0.7609868618456057}"
62,63,61,['Female'],Low,['New York'],"{'stationery': 0.662028541718133, 'travel': 0.4789622163757853, 'home': 0.38048914635311726, 'skin-care': 0.5976313159742348, 'fashion': 0.21056874447757157}"
63,64,59,['Male'],High,['New York'],"{'stationery': 0.5430359180348132, 'travel': 0.7144373457352243, 'home': 0.41840405158265925, 'skin-care': 0.44428364873875215, 'fashion': 0.380152695297736}"
64,65,51,['Female'],Low,['Portland'],"{'stationery': 0.047428946582864895, 'travel': 0.44226509630573085, 'home': 0.5314838556110417, 'skin-care': 0.4181159279201455, 'fashion': 0.16627071745927102}"
